Date,Price,Open,High,Low,Vol.,Change %
"Jan 11, 2010",22.4,22.32,22.4,22,17.92K,-0.22%
"Jan 08, 2010",22.45,22.01,22.45,21.73,24.42K,2.05%
"Jan 07, 2010",22,21.73,22,21.5,8.39K,2.33%
"Jan 06, 2010",21.5,21.6,21.75,21.5,19.61K,-0.69%
"Jan 05, 2010",21.65,21.61,21.85,21.43,10.30K,0.70%
"Jan 04, 2010",21.5,21.41,22,20.91,19.72K,-3.80%
"Dec 31, 2009",22.35,22.05,22.45,22.05,13.59K,-0.04%
"Dec 30, 2009",22.36,22.25,22.36,21.7,12.41K,0.27%
"Dec 29, 2009",22.3,22.34,22.41,22.23,15.48K,0.63%
"Dec 28, 2009",22.16,22.14,22.4,21.93,17.98K,-0.85%
"Dec 24, 2009",22.35,22.35,22.4,22.1,28.43K,1.82%
"Dec 23, 2009",21.95,21.66,22.05,21.37,24.76K,1.62%
"Dec 22, 2009",21.6,21.45,21.68,21.13,11.97K,0.93%
"Dec 21, 2009",21.4,21.45,21.45,20.97,9.26K,-2.51%
"Dec 18, 2009",21.95,22.86,22.86,21.75,23.68K,-4.98%
"Dec 17, 2009",23.1,23.22,23.38,23,11.26K,-2.41%
"Dec 16, 2009",23.67,23.2,23.82,23.2,5.80K,1.15%
"Dec 15, 2009",23.4,23.59,23.59,23.37,14.01K,-2.09%
"Dec 14, 2009",23.9,24,24.03,23.72,13.69K,-0.62%
"Dec 11, 2009",24.05,23.89,24.12,23.79,13.44K,2.25%
"Dec 10, 2009",23.52,23.95,23.95,23.47,12.39K,0.17%
"Dec 09, 2009",23.48,23.62,23.62,23.39,18.45K,1.12%
"Dec 08, 2009",23.22,23.6,23.6,23.17,20.62K,-3.85%
"Dec 07, 2009",24.15,23.87,24.3,23.87,15.09K,0.79%
"Dec 04, 2009",23.96,24.72,24.72,23.71,15.29K,-1.20%
"Dec 03, 2009",24.25,24.34,24.53,24.16,10.37K,2.11%
"Dec 02, 2009",23.75,24.52,24.55,23.7,38.55K,-3.65%
"Dec 01, 2009",24.65,24.7,24.89,24.5,17.81K,-1.20%
"Nov 30, 2009",24.95,25.56,26.16,24.53,135.39K,-4.41%
"Nov 27, 2009",26.1,25.8,26.41,25.61,7.18K,-1.14%
"Nov 25, 2009",26.4,26.3,26.4,25.85,10.46K,-2.04%
"Nov 24, 2009",26.95,27.6,27.6,26.65,15.25K,-4.50%
"Nov 23, 2009",28.22,28.1,28.39,28.08,10.55K,1.40%
